obs	floron	Latijnse naam	
6833	579	Geum urbanum	
6835	581	Glaux maritima	
18443	5394	Glebionis coronaria	
6603	321	Glebionis segetum	
6836	582	Glechoma hederacea	
6837	583	Glyceria declinata	
6838	584	Glyceria fluitans	
6839	585	Glyceria maxima	
6840	586	Glyceria notata	
6842	587	Gnaphalium luteo-album	
2545	588	Gnaphalium sylvaticum	
6843	589	Gnaphalium uliginosum	
6844	991	Groenlandia densa	
6847	598	Hedera helix	
6848	1859	Helianthus annuus	
6849	1614	Helianthus tuberosus	
6850	604	Helictotrichon pubescens	
6854	606	Heracleum mantegazzianum	
6855	607	Heracleum sphondylium	
6856	609	Herniaria glabra	
6858	1860	Hesperis matronalis	
6860	611	Hieracium aurantiacum	
6861	615	Hieracium caespitosum	
6862	618	Hieracium laevigatum	
2559	2417	Hieracium murorum	
6863	621	Hieracium pilosella	
6865	624	Hieracium sabaudum	
6866	625	Hieracium umbellatum	
6867	5303	Hieracium vulgatum	
2561	626	Hierochloe odorata	
6869	629	Hippophae rhamnoides	
6870	640	Hippuris vulgaris	
6871	1763	Hirschfeldia incana	
6872	631	Holcus lanatus	
6873	632	Holcus mollis	
6874	634	Honckenya peploides	
6878	636	Hordeum murinum	
2565	637	Hordeum secalinum	
6880	638	Hottonia palustris	
7697	639	Humulus lupulus	
7418	1151	Hyacinthoides non-scripta	
6882	640	Hydrocharis morsus-ranae	
6883	2490	Hydrocotyle ranunculoides	
6884	641	Hydrocotyle vulgaris	
2567	642	Hyoscyeramus nig	
2569	644	Hypericum elodes	
6887	646	Hypericum humifusum	
133113	647	Hypericum maculatum obtusiusculum	
6888	649	Hypericum perforatum	
2573	650	Hypericum pulchrum	
6889	651	Hypericum tetrapterum	
2574	652	Hypochaeris glabra	
6890	654	Hypochaeris radicata	
6894	658	Ilex quifolium	
2576	659	Illecebrum verticillatum	
6896	1862	Impatiens glandulifera	
6897	660	Impatiens noli-tangere	
6898	661	Impatiens parviflora	
6899	662	Inula britannica	
6900	663	Inula conyzae	
6903	665	Iris pseudacorus	
6904	666	Isatis tinctoria	
6905	1159	Isolepis setacea	
7445	1183	Jacobaea aquatica	
7446	1185	Jacobaea erucifolia	
7450	1189	Jacobaea paludosa	
7449	2290	Jacobaea vulgaris	
18449	5497	Jacobaea vulgaris vulgaris	
6907	669	Jasione montana	
6909	2303	Juglans regia	
6910	670	Juncus acutiflorus	
17123	1929	Juncus alpinoarticulatus	
6912	671	Juncus ambiguus	
6913	673	Juncus articulatus	
6914	674	Juncus balticus	
6915	675	Juncus bufonius	
6916	2343	Juncus bulbosus	
6918	678	Juncus compressus	
6919	679	Juncus conglomeratus	
6920	680	Juncus effusus	
2582	681	Juncus filiormis	
10109	683	Juncus gerardii	
6924	684	Juncus inflexus	
6925	685	Juncus maritimus	
6926	687	Juncus squarrosus	
6927	688	Juncus subnodulosus	
6928	690	Juncus tenuis	
2585	691	Juniperus communis	
2586	742	Kickxia elatine	
2587	744	Kickxia spuria	
2588	692	Knautia arvensis	
6931	693	Koeleria macrantha	
6935	699	Lactuca serriola	
18424	1898	Lamiastrum galeobdolon argetatum	
195125	702	Lamiastrum galeobdolon galeobdolon	
6942	700	Lamium album	
6943	701	Lamium amplexicaule	
6945	703	Lamium hybridum	
6946	5475	Lamium maculatum	
6947	706	Lamium purpureum	
6949	708	Lapsana communis	
20483	6566	Larix	
6954	1864	Lathyrus latifolius	
6955	714	Lathyrus palustris	
6956	715	Lathyrus pratensis	
6957	716	Lathyrus sylvestris	
6958	717	Lathyrus tuberosus	
2597	719	Leersia orysoides	
6960	722	Lemna gibba	
6961	723	Lemna minor	
6962	2426	Lemna minuta	
6963	724	Lemna trisulca	
6965	725	Leontodon autumnalis	
2600	726	Leontodon hispidus	
6966	727	Leontodon saxatilis	
6968	729	Lepidium campestre	
6969	1700	Lepidium densiflorum	
6970	730	Lepidium draba	
6971	1701	Lepidium heterophyllum	
6972	732	Lepidium latifolium	
6975	733	Lepidium ruderale	
6979	319	Leucanthemum vulgare	
6982	443	Leymus arenarius	
